"dominio","...1","directorio","secuencia_p","orden","clase","mes","estrato1","sex","age","p6050","p6090","p6210","p6210s1","p6240","oficio","p6426","relab","hoursWorkUsual","p6870","p7040","p7090","p7495","p7500s1a1","p7500s2a1","p7500s3a1","p7505","p7510s1a1","p7510s2a1","p7510s3a1","p7510s5a1","p7510s6a1","p7510s7a1","impa","isa","iof1","iof2","iof3h","iof3i","iof6","ingtotob","ingtot","fex_c","depto","fex_dpto","fweight","college","regSalud","cotPension","totalHoursWorked","formal","cuentaPropia","microEmpresa","y_total_m","y_total_m_ha","ingtot_H"
"BOGOTA",2,4514331,1,1,1,1,"2","1",36,"1","1","5","11","1","39",166,2,45,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1840833.33333333,0,0,0,0,0,0,1840833.33333333,1840833.33333333,254.687742271476,11,254.687742271476,255,1,"2",1,45,"1",0,0,1620833.25,8404.3203125,40907.4074074073
"BOGOTA",9,4514333,1,1,1,1,"2","1",51,"1","1","6","3","1","85",12,1,48,4,2,2,"1",5e+05,0,0,"2",0,0,0,0,0,0,1378973.33333333,0,0,0,0,0,5e+05,1878973.33333333,1878973.33333333,194.208921972393,11,194.208921972393,194,0,"1",1,48,"1",0,0,1378973.375,6703.3427734375,39145.2777777777
"BOGOTA",14,4514334,1,1,1,1,"2","1",45,"1","1","3","5","1","45",15,1,56,3,2,2,"2",0,0,0,"2",0,0,0,0,0,0,883357,0,0,0,0,0,0,883357,883357,243.45515246432,11,243.45515246432,243,0,"1",1,56,"1",0,1,883357,3680.65405273438,15774.2321428571
"BOGOTA",16,4514335,1,1,1,1,"2","1",61,"1","1","3","3","1","53",120,1,40,7,2,2,"2",0,0,0,"2",0,0,0,0,0,0,7e+05,0,0,0,0,0,0,7e+05,1200000,230.177656890553,11,230.177656890553,230,0,"3",2,40,"0",0,0,7e+05,4083.33325195312,30000
"BOGOTA",22,4514338,1,2,1,1,"2","0",35,"2","1","6","5","6","13",24,2,48,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1941500,0,0,0,0,0,0,1941500,1941500,341.979787849128,11,341.979787849128,342,0,"2",1,48,"1",0,0,1941500.125,9437.84765625,40447.9166666667
"BOGOTA",23,4514339,1,1,1,1,"2","0",35,"1","1","5","11","1","42",36,1,40,9,2,2,"2",0,0,0,"1",0,0,0,0,0,0,1083000,0,0,0,0,0,0,1083000,1083000,352.079215448786,11,352.079215448786,352,1,"1",1,40,"1",0,0,1083000,6317.5,27075
"BOGOTA",26,4514339,1,2,1,1,"2","1",39,"2","1","6","7","4","33",94,1,44,9,2,2,"2",0,0,0,"1",0,0,0,0,150000,0,1616333.33333333,0,0,0,0,0,0,1616333.33333333,1716333.33333333,352.079215448786,11,352.079215448786,352,0,"1",1,44,"1",0,0,1616333.375,8571.46484375,39007.5757575757
"BOGOTA",31,4514342,1,2,1,1,"2","1",29,"3","2","6","2","4","37",6,4,40,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1e+06,0,0,0,0,0,0,1e+06,1e+06,254.687742271476,11,254.687742271476,255,0,NA,2,40,"0",1,1,1e+06,5833.33349609375,25000
"BOGOTA",34,4514343,1,1,1,1,"2","1",29,"1","1","5","11","4","45",24,1,54,2,2,2,"2",0,0,0,"2",0,0,0,0,0,0,779000,0,0,0,0,0,0,779000,779000,429.27183342678,11,429.27183342678,429,1,"1",1,54,"1",0,1,779000,3366.04931640625,14425.9259259259
"BOGOTA",38,4514344,1,2,1,1,"2","0",44,"2","2","4","8","6","57",6,4,42,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,3e+05,0,0,0,0,0,0,3e+05,3e+05,205.425424579072,11,205.425424579072,205,0,NA,2,42,"0",1,1,3e+05,1666.66662597656,7142.85714285714
