"directorio","secuencia_p","orden","clase","mes","estrato1","sex","age","p6050","p6090","p6100","p6210","p6210s1","p6240","p7495","p7500s1a1","p7500s2a1","p7500s3a1","p7505","p7510s1a1","p7510s2a1","p7510s3a1","p7510s5a1","p7510s6a1","p7510s7a1","pet","iof1","iof2","iof3h","iof3i","iof6","ingtotob","ingtot","maxEducLevel","regSalud","wap","ocu","dsi","pea","inac","totalHoursWorked","formal"
4514331,1,2,1,1,2,0,29,2,1,2,5,11,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,1,0,0,0,1,47.4026719864587,0.586809333816951
4514331,1,1,1,1,2,1,36,1,1,2,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1840833.33333333,1840833.33333333,6,2,1,1,0,1,0,45,1
4514332,1,1,1,1,2,0,32,1,1,1,4,7,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514333,1,4,1,1,2,1,18,3,1,1,6,2,3,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514333,1,1,1,1,2,1,51,1,1,1,6,3,1,1,5e+05,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5e+05,1878973.33333333,1878973.33333333,7,1,1,1,0,1,0,48,1
4514334,1,1,1,1,2,1,45,1,1,1,3,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,883357,883357,4,1,1,1,0,1,0,56,1
4514335,1,1,1,1,2,1,61,1,1,3,3,3,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,7e+05,1200000,3,3,1,1,0,1,0,40,0
4514335,1,2,1,1,2,0,49,2,1,3,1,0,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,1,47.4026719864587,0.586809333816951
4514337,1,1,1,1,2,1,68,1,1,1,6,3,6,1,0,1e+06,0,2,0,0,0,0,0,0,1,0,1e+06,0,0,0,1e+06,1e+06,7,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514337,1,2,1,1,2,0,67,2,1,1,6,2,4,1,2e+05,781000,0,2,0,0,0,0,0,0,1,0,781000,0,0,2e+05,981000,981000,7,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514338,1,1,1,1,2,1,35,1,1,1,6,2,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1e+06,1e+06,7,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514338,1,2,1,1,2,0,35,2,1,2,6,5,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1941500,1941500,7,2,1,1,0,1,0,48,1
4514339,1,1,1,1,2,0,35,1,1,1,5,11,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1083000,1083000,6,1,1,1,0,1,0,40,1
4514339,1,2,1,1,2,1,39,2,1,1,6,7,4,2,0,0,0,1,0,0,0,0,150000,0,1,0,0,0,0,0,1616333.33333333,1716333.33333333,7,1,1,1,0,1,0,44,1
4514340,1,1,1,1,2,0,77,1,1,1,4,9,6,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5e+05,5,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514342,1,1,1,1,2,0,54,1,1,3,6,2,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,1,0,0,0,1,47.4026719864587,0.586809333816951
4514342,1,2,1,1,2,1,29,3,2,1.38606565221552,6,2,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1e+06,1e+06,7,1.37731148797547,1,1,0,1,0,40,0
