
===================================================================================================================================================================================================================================================================================
   skim_type  skim_variable   n_missing   complete_rate   character.min character.max character.empty character.n_unique character.whitespace   numeric.mean       numeric.sd        numeric.p0      numeric.p25      numeric.p50      numeric.p75      numeric.p100   numeric.hist
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1  character     dominio          0             1               6             6              0                1                   0                  NA                NA                NA               NA               NA               NA               NA                    
2   numeric        ...1           0             1              NA            NA             NA                NA                  NA          1618.50500706518  930.079519878933         1               809              1621             2427             3218          ▇▇▇▇▇    
3   numeric     directorio        0             1              NA            NA             NA                NA                  NA          4656618.15205505   81904.333349135      4514331          4588476          4655277          4728961          4804455         ▇▇▇▇▆    
4   numeric    secuencia_p        0             1              NA            NA             NA                NA                  NA          1.01449898629969  0.133615765247274        1                1                1                1                4            ▇▁▁▁▁    
5   numeric       orden           0             1              NA            NA             NA                NA                  NA           1.9163850832463  1.21758032558192         1                1                2                2                12           ▇▁▁▁▁    
6   numeric       clase           0             1              NA            NA             NA                NA                  NA                  1                 0                1                1                1                1                1            ▁▁▇▁▁    
7   numeric        mes            0             1              NA            NA             NA                NA                  NA          6.44701111998526  3.37190139828421         1                4                6                9                12           ▇▆▆▆▇    
8   numeric      estrato1         0             1              NA            NA             NA                NA                  NA          2.55532346255452  1.01395495275959         1                2                2                3                6            ▇▆▁▁▁    
9   numeric        sex            0             1              NA            NA             NA                NA                  NA          0.533390673957117 0.498899142542959        0                0                1                1                1            ▇▁▁▁▇    
10  numeric        age            0             1              NA            NA             NA                NA                  NA          39.4100878540272  13.4390106809969         18               28               38               50               93           ▇▇▅▁▁    
11  numeric       p6050           0             1              NA            NA             NA                NA                  NA          2.19721078822879  1.78558427891722         1                1                2                3                9            ▇▂▁▁▁    
12  numeric       p6090           0             1              NA            NA             NA                NA                  NA           1.0874239724765  0.337923676814822        1                1                1                1                9            ▇▁▁▁▁    
13  numeric       p6210           0             1              NA            NA             NA                NA                  NA          5.00731092953247  1.09519073121336         1                4                5                6                9            ▁▅▆▇▁    
14  numeric      p6210s1          0             1              NA            NA             NA                NA                  NA          6.81089881427782   3.519038087055          0                4                6                11               99           ▇▁▁▁▁    
15  numeric       p6240           0             1              NA            NA             NA                NA                  NA           1.5126251766296   1.3673117353244         1                1                1                1                6            ▇▁▁▁▁    
16  numeric       oficio          0             1              NA            NA             NA                NA                  NA          49.7145051299379   28.182704374101         1                33               45               70               99           ▃▃▇▁▅    
17  numeric       p6426           0             1              NA            NA             NA                NA                  NA          63.7874915524974  89.5239683830284         0                7                24               84              720           ▇▁▁▁▁    
